Bot Index,Bot Task,Bot,gpt-4o-2024-11-20
88,Addbot 11,Addbot,Operational
89,Addbot 25,Addbot,Information provision
90,Addbot,Addbot,Other
91,Addbot 22,Addbot,Operational
92,Addbot 1,Addbot,Exception management
93,Addbot 17,Addbot,Operational
94,Addbot 20,Addbot,Operational
95,Addbot 29,Addbot,Operational
96,Addbot 3,Addbot,Task division
97,Addbot 5,Addbot,Information provision
98,Addbot 13,Addbot,Exception management
99,Addbot 12,Addbot,Information provision
100,Addbot 6,Addbot,Operational
101,Addbot 10,Addbot,Operational
102,Addbot 26,Addbot,Operational
103,Addbot 32,Addbot,Interwiki
104,Addbot 18,Addbot,Operational
105,Addbot 8,Addbot,Operational
106,Addbot 14,Addbot,Operational
107,Addbot 23,Addbot,Operational
108,Addbot 27,Addbot,Operational
109,Addbot 4,Addbot,Operational
110,Addbot 21,Addbot,Operational
111,Addbot 15,Addbot,Operational
112,Addbot 28,Addbot,Operational
113,Addihockey10 (automated),Addihockey10 (automated),Operational
114,AddihockeyBot,AddihockeyBot,Interwiki
115,Adithyakbot,Adithyakbot,Operational
116,Adlerbot,Adlerbot,Interwiki
117,AdminStatsBot,AdminStatsBot,Information provision
118,Admrbot,Admrbot,Task allocation
119,Adrián Neves Bot,Adrián Neves Bot,Other
120,AdvertisingBlockBot,AdvertisingBlockBot,Exception management
121,Aerobot,Aerobot,Exception management
122,Aesthetic Bot,Aesthetic Bot,Operational
123,AfDBot,AfDBot,Information provision
124,AfDStatBot,AfDStatBot,Information provision
125,AfdlBot,AfdlBot,Task division
126,AfinogenoffBot,AfinogenoffBot,Operational
127,Afkbot,Afkbot,Other
128,AfroBot,AfroBot,Information provision
129,Ahechtbot 6,Ahechtbot,Information provision
130,Ahechtbot 5,Ahechtbot,Operational
131,Ahechtbot 2,Ahechtbot,Operational
132,Ahechtbot 7,Ahechtbot,Information provision
133,Ahechtbot 3,Ahechtbot,Operational
134,Ahechtbot,Ahechtbot,Operational
135,Ahechtbot 4,Ahechtbot,Operational
136,Aibot,Aibot,Other
137,Aidan9382-Bot,Aidan9382-Bot,Operational
138,Aidan9382-Bot 2,Aidan9382-Bot,Operational
139,Aidan9382-Bot 3,Aidan9382-Bot,Operational
140,AilurophobiaBot,AilurophobiaBot,Operational
141,AiuwBot,AiuwBot,Other
142,AkhtaBot,AkhtaBot,Interwiki
143,Aksibot,Aksibot,Exception management
144,Alaibot 4,Alaibot,Task division
145,Alaibot 2,Alaibot,Task division
146,Alaibot 5,Alaibot,Operational
147,Alaibot 3,Alaibot,Task division
148,Alaibot,Alaibot,Operational
149,AlaibotToo,AlaibotToo,Other
150,AlanBOT,AlanBOT,Operational
151,Albambot 3,Albambot,Interwiki
152,Albambot,Albambot,Interwiki
153,Albambot (2nd request),Albambot (2nd request),Interwiki
154,Albotim,Albotim,Operational
155,Alch Bot,Alch Bot,Other
156,AldbotX,AldbotX,Operational
157,AldnonymousBOT,AldnonymousBOT,Other
158,Ale jrb bot,Ale jrb bot,Exception management
159,Ale jrb bot,Ale jrb bot,Information provision
160,AlekseyBot,AlekseyBot,Operational
161,Alertbot,Alertbot,Information provision
162,AlexNewArtBot,AlexNewArtBot,Exception management
163,AlexandriaBot,AlexandriaBot,Other
164,Alexbot 3,Alexbot,Operational
165,Alexbot,Alexbot,Interwiki
166,Alexbot 2,Alexbot,Interwiki
167,AlicornBot,AlicornBot,Exception management
168,Alirezabot,Alirezabot,Interwiki
169,AllaSmackBot,AllaSmackBot,Other
170,AlleborgoBot,AlleborgoBot,Interwiki
171,AllieBot,AllieBot,Other
172,Almabot,Almabot,Interwiki
173,AlnoktaBOT,AlnoktaBOT,Interwiki
174,AloysiusLiliusBot,AloysiusLiliusBot,Operational
175,Alph Bot,Alph Bot,Interwiki
176,Alphachimpbot 4,Alphachimpbot,Other
177,Alphachimpbot,Alphachimpbot,Other
178,Alphachimpbot 5,Alphachimpbot,Other
179,Alphachimpbot 8,Alphachimpbot,Operational
180,Alphachimpbot8,Alphachimpbot8,Operational
181,AlptaBot 2,AlptaBot,Exception management
182,AlptaBot,AlptaBot,Operational
183,AlptaSandboxBot,AlptaSandboxBot,Operational
184,AlyBot,AlyBot,Task division
185,Amalthea (archivebot),Amalthea (archivebot),Other
186,Amalthea (bot 2),Amalthea (bot 2),Other
187,Amalthea (bot),Amalthea (bot),Information provision
188,Amalthea (bot) 2,Amalthea (bot),Information provision
189,Amalthea (bot) 3,Amalthea (bot),Operational
190,AmeliorationBot 2,AmeliorationBot,Operational
191,AmeliorationBot,AmeliorationBot,Exception management
192,AmerigoBOT,AmerigoBOT,Other
193,AmigaBot,AmigaBot,Other
194,Amire80Bot,Amire80Bot,Interwiki
195,Amirobot,Amirobot,Interwiki
196,Amirsara2bot,Amirsara2bot,Other
197,Amolbot,Amolbot,Interwiki
198,AmoryBot,AmoryBot,Information provision
199,AmphBot,AmphBot,Interwiki
200,Analphabot,Analphabot,Interwiki
201,Anchor Link Bot,Anchor Link Bot,Information provision
202,AnchorBot,AnchorBot,Other
203,AndersBot,AndersBot,Interwiki
204,Andrea105Bot 2,Andrea105Bot,Operational
205,Andrea105Bot 4,Andrea105Bot,Operational
206,Andrea105Bot 5,Andrea105Bot,Operational
207,Andrea105Bot,Andrea105Bot,Task allocation
208,Andrea105Bot 3,Andrea105Bot,Task allocation
209,AndreasJSbot,AndreasJSbot,Operational
210,AndreasJSbot 2,AndreasJSbot,Operational
211,Andrew Hampe (Bot),Andrew Hampe (Bot),Operational
212,Andrew the bot.,Andrew the bot.,Operational
213,Andrewbot,Andrewbot,Other
214,Android Mouse Bot 3,Android Mouse Bot,Operational
215,Android Mouse Bot 4,Android Mouse Bot,Operational
216,Android Mouse Bot 2,Android Mouse Bot,Information provision
217,Android Mouse Bot,Android Mouse Bot,Operational
218,Android Mouse Bot 4 2,Android Mouse Bot 4,Operational
219,Android Mouse Bot req2,Android Mouse Bot req2,Task allocation
220,Android Mouse Bot req3,Android Mouse Bot req3,Operational
221,Android Mouse Bot req4,Android Mouse Bot req4,Operational
222,AndrybakBot,AndrybakBot,Other
223,AndyBot,AndyBot,Exception management
224,AndymwBot,AndymwBot,Other
225,AndyzBot,AndyzBot,Exception management
226,AngBot,AngBot,Exception management
227,AngelBot,AngelBot,Operational
228,Angria77Bot,Angria77Bot,Exception management
229,AniBot,AniBot,Other
230,Anibot,Anibot,Task allocation
231,Animum Delivery Bot,Animum Delivery Bot,Information provision
232,AnkitAWB,AnkitAWB,Task allocation
233,AnkitAWB 2,AnkitAWB,Operational
234,AnkitBot,AnkitBot,Operational
235,AnomieBOT 30,AnomieBOT,Task allocation
236,AnomieBOT 49,AnomieBOT,Operational
237,AnomieBOT 7,AnomieBOT,Task division
238,AnomieBOT 78,AnomieBOT,Operational
239,AnomieBOT 6,AnomieBOT,Operational
240,AnomieBOT 44,AnomieBOT,Operational
241,AnomieBOT 47,AnomieBOT,Information provision
242,AnomieBOT 27,AnomieBOT,Information provision
243,AnomieBOT 62,AnomieBOT,Information provision
244,AnomieBOT 21,AnomieBOT,Operational
245,AnomieBOT 35,AnomieBOT,Operational
246,AnomieBOT 9,AnomieBOT,Operational
247,AnomieBOT 2,AnomieBOT,Operational
248,AnomieBOT 48,AnomieBOT,Task allocation
249,AnomieBOT 55,AnomieBOT,Operational
250,AnomieBOT 22,AnomieBOT,Operational
251,AnomieBOT 37,AnomieBOT,Operational
252,AnomieBOT 38,AnomieBOT,Reward provision
253,AnomieBOT 4,AnomieBOT,Task division
254,AnomieBOT 60,AnomieBOT,Operational
255,AnomieBOT 18,AnomieBOT,Exception management
256,AnomieBOT 70,AnomieBOT,Operational
257,AnomieBOT 58,AnomieBOT,Operational
258,AnomieBOT 72,AnomieBOT,Operational
259,AnomieBOT 13,AnomieBOT,Task division
260,AnomieBOT 76,AnomieBOT,Information provision
261,AnomieBOT 43,AnomieBOT,Interwiki
262,AnomieBOT 65,AnomieBOT,Task division
263,AnomieBOT 53,AnomieBOT,Exception management
264,AnomieBOT 36,AnomieBOT,Operational
265,AnomieBOT 69,AnomieBOT,Task allocation
266,AnomieBOT 71,AnomieBOT,Operational
267,AnomieBOT 28,AnomieBOT,Task allocation
268,AnomieBOT 73,AnomieBOT,Operational
269,AnomieBOT 81,AnomieBOT,Operational
270,AnomieBOT 29,AnomieBOT,Operational
271,AnomieBOT 74,AnomieBOT,Operational
272,AnomieBOT 66,AnomieBOT,Information provision
273,AnomieBOT 34,AnomieBOT,Task allocation
274,AnomieBOT 3,AnomieBOT,Operational
275,AnomieBOT 46,AnomieBOT,Information provision
276,AnomieBOT,AnomieBOT,Reward provision
277,AnomieBOT,AnomieBOT,Operational
278,AnomieBOT 67,AnomieBOT,Task division
279,AnomieBOT 39,AnomieBOT,Operational
280,AnomieBOT 77,AnomieBOT,Operational
281,AnomieBOT 24,AnomieBOT,Operational
282,AnomieBOT 57,AnomieBOT,Operational
283,AnomieBOT 40,AnomieBOT,Operational
284,AnomieBOT 50,AnomieBOT,Operational
285,AnomieBOT 63,AnomieBOT,Operational
286,AnomieBOT 20,AnomieBOT,Operational
287,AnomieBOT 25,AnomieBOT,Operational
288,AnomieBOT 12,AnomieBOT,Operational
289,AnomieBOT 5,AnomieBOT,Operational
290,AnomieBOT 52,AnomieBOT,Operational
291,AnomieBOT 41,AnomieBOT,Information provision
292,AnomieBOT 42,AnomieBOT,Information provision
293,AnomieBOT 19,AnomieBOT,Task allocation
294,AnomieBOT 51,AnomieBOT,Operational
295,AnomieBOT 79,AnomieBOT,Operational
296,AnomieBOT 54,AnomieBOT,Operational
297,AnomieBOT 64,AnomieBOT,Task division
298,AnomieBOT 23,AnomieBOT,Operational
299,AnomieBOT 61,AnomieBOT,Operational
300,AnomieBOT 17,AnomieBOT,Operational
301,AnomieBOT 11,AnomieBOT,Exception management
302,AnomieBOT 82,AnomieBOT,Operational
303,AnomieBOT 59,AnomieBOT,Task division
304,AnomieBOT 75,AnomieBOT,Task division
305,AnomieBOT 80,AnomieBOT,Operational
306,AnomieBOT 8,AnomieBOT,Task division
307,AnomieBOT 14,AnomieBOT,Task allocation
308,AnomieBOT 32,AnomieBOT,Task division
309,AnomieBOT 45,AnomieBOT,Operational
310,AnomieBOT 26,AnomieBOT,Operational
311,AnomieBOT 10,AnomieBOT,Task allocation
312,AnomieBOT 33,AnomieBOT,Operational
313,AnomieBOT 56,AnomieBOT,Operational
314,AnomieBOT 31,AnomieBOT,Operational
315,AnomieBOT 68,AnomieBOT,Information provision
316,AnomieBOT 15,AnomieBOT,Task division
317,AnomieBOT II,AnomieBOT II,Reward provision
318,AnomieBOT II,AnomieBOT II,Task division
319,AnomieBOT II 2,AnomieBOT II,Operational
320,AnomieBOT II 3,AnomieBOT II,Operational
321,AnomieBOT II 4,AnomieBOT II,Operational
322,AnomieBOT III 5,AnomieBOT III,Operational
323,AnomieBOT III 7,AnomieBOT III,Exception management
324,AnomieBOT III 2,AnomieBOT III,Exception management
325,AnomieBOT III 3,AnomieBOT III,Other
326,AnomieBOT III 3,AnomieBOT III,Exception management
327,AnomieBOT III 4,AnomieBOT III,Operational
328,AnomieBOT III,AnomieBOT III,Operational
329,AnomieBOT III,AnomieBOT III,Other
330,AnomieBOT III 6,AnomieBOT III,Exception management
331,Anonymoususerdaily,Anonymoususerdaily,Other
332,Ansh0581,Ansh0581,Other
333,AntiAbuseBot,AntiAbuseBot,Exception management
334,AntiAbuseBot,AntiAbuseBot,Exception management
335,AntiCompositeBot 3,AntiCompositeBot,Operational
336,AntiCompositeBot,AntiCompositeBot,Operational
337,AntiCompositeBot 2,AntiCompositeBot,Information provision
338,AntiRedirBot,AntiRedirBot,Operational
339,AntiSpamBot,AntiSpamBot,Exception management
340,AntiVandalBot,AntiVandalBot,Exception management
341,AntidereBot,AntidereBot,Other
342,Antigng-bot,Antigng-bot,Operational
343,Antimalbot,Antimalbot,Exception management
344,Antime Bot I~enwiki,Antime Bot I~enwiki,Other
345,Antischmitzbot,Antischmitzbot,Task allocation
346,Antoine2711bot,Antoine2711bot,Operational
347,Anybot,Anybot,Task division
348,Aplikasi-Bot,Aplikasi-Bot,Other
349,Apocatequil,Apocatequil,Interwiki
350,Apocatequil~enwiki,Apocatequil~enwiki,Other
351,Apostrobot,Apostrobot,Exception management
352,ArbClerkBot,ArbClerkBot,Information provision
353,ArbComBot,ArbComBot,Task allocation
354,Arbitrarily0Bot,Arbitrarily0Bot,Task allocation
355,Archive 'o' matic,Archive 'o' matic,Information provision
356,Archivedotisbot,Archivedotisbot,Operational
357,Area code bot,Area code bot,Operational
358,Arjunaraocbot,Arjunaraocbot,Operational
359,ArkyBot,ArkyBot,Operational
360,ArkyBot 2,ArkyBot,Information provision
361,ArkyBot II,ArkyBot II,Operational
362,ArmadilloProcessBot,ArmadilloProcessBot,Operational
363,Armanbot,Armanbot,Interwiki
364,ArmbrustBot,ArmbrustBot,Operational
365,ArmbrustBot 5,ArmbrustBot,Operational
366,ArmbrustBot 2,ArmbrustBot,Operational
367,ArmbrustBot 3,ArmbrustBot,Task division
368,ArmbrustBot 4,ArmbrustBot,Operational
369,ArmbrustBot 6,ArmbrustBot,Operational
370,ArshavaBot,ArshavaBot,Interwiki
371,ArthurBot,ArthurBot,Interwiki
372,Article Feedback V5,Article Feedback V5,Other
373,ArticleAlertbot,ArticleAlertbot,Task allocation
374,ArticleAlertingBot,ArticleAlertingBot,Task allocation
375,ArticleGrinder,ArticleGrinder,Task division
376,ArticleListBot,ArticleListBot,Other
377,ArticlesForCreationBot 3,ArticlesForCreationBot,Exception management
378,ArticlesForCreationBot 4,ArticlesForCreationBot,Operational
379,ArticlesForCreationBot,ArticlesForCreationBot,Operational
380,ArticlesForCreationBot 5,ArticlesForCreationBot,Task allocation
381,ArticlesForCreationBot 2,ArticlesForCreationBot,Operational
382,AsenineBot,AsenineBot,Operational
383,AsgardBot,AsgardBot,Interwiki
384,AssumptionBot,AssumptionBot,Operational
385,AstRoBot 2,AstRoBot,Information provision
386,AstRoBot,AstRoBot,Operational
387,AstaBOTh15,AstaBOTh15,Interwiki
388,AstaBOTh15 2,AstaBOTh15,Operational
389,AstraleBot,AstraleBot,Other
390,Asubot,Asubot,Other
391,AswnBot,AswnBot,Interwiki
392,Athikhun.suwBOT,Athikhun.suwBOT,Operational
393,Atobot,Atobot,Other
394,AttributionBot,AttributionBot,Information provision
395,AtyndallBot,AtyndallBot,Other
396,AudeBot 2,AudeBot,Information provision
397,AudeBot,AudeBot,Operational
398,AusTerrapinBotEdits,AusTerrapinBotEdits,Operational
399,AushulzBot,AushulzBot,Operational
400,AussieBot 1,AussieBot,Task division
401,AussieBot,AussieBot,Other
402,Autobot,Autobot,Other
403,AutocracyBot,AutocracyBot,Information provision
404,Autoediter,Autoediter,Exception management
405,Autotitlechange,Autotitlechange,Operational
406,AvicBot 4,AvicBot,Operational
407,AvicBot 10,AvicBot,Operational
408,AvicBot 2,AvicBot,Operational
409,AvicBot 5,AvicBot,Interwiki
410,AvicBot 8,AvicBot,Task allocation
411,AvicBot 11,AvicBot,Operational
412,AvicBot 6,AvicBot,Exception management
413,AvicBot 12,AvicBot,Operational
414,AvicBot 7,AvicBot,Operational
415,AvicBot,AvicBot,Operational
416,AvicBot 3,AvicBot,Interwiki
417,AvicBot 9,AvicBot,Task allocation
418,AvicBot2,AvicBot2,Operational
419,AvicBot2 2,AvicBot2,Operational
420,AvocatoBot 2,AvocatoBot,Operational
421,AvocatoBot,AvocatoBot,Interwiki
422,AwOcBot,AwOcBot,Operational
423,AwOcBot 2,AwOcBot,Interwiki
424,Awesome Bot,Awesome Bot,Other
425,AxGbot,AxGbot,Operational
426,AzaBot,AzaBot,Task allocation
427,B-bot 4,B-bot,Exception management
428,B-bot 5,B-bot,Task division
429,B-bot,B-bot,Exception management
430,B-bot 3,B-bot,Operational
431,B-bot 2,B-bot,Exception management
432,B.Zsoltbot,B.Zsoltbot,Other
433,BAGBot,BAGBot,Information provision
434,BD2412bot 2,BD2412bot,Task division
435,BD2412bot,BD2412bot,Operational
436,BG19bot 3,BG19bot,Operational
437,BG19bot 6,BG19bot,Task allocation
438,BG19bot 2,BG19bot,Task division
439,BG19bot 5,BG19bot,Task allocation
440,BG19bot,BG19bot,Operational
441,BG19bot 8,BG19bot,Operational
442,BG19bot 9,BG19bot,Operational
443,BG19bot 7,BG19bot,Operational
444,BG19bot 10,BG19bot,Operational
445,BG19bot 4,BG19bot,Operational
446,BHGbot 4,BHGbot,Task allocation
447,BHGbot 4,BHGbot,Operational
448,BHGbot 4,BHGbot,Task allocation
449,BHGbot 4,BHGbot,Task allocation
450,BHGbot 8,BHGbot,Task allocation
451,BHGbot 8,BHGbot,Operational
452,BHGbot 9,BHGbot,Task allocation
453,BHGbot 9,BHGbot,Task allocation
454,BHGbot 9,BHGbot,Task allocation
455,BHGbot 9,BHGbot,Operational
456,BHGbot 6,BHGbot,Task allocation
457,BHGbot 6,BHGbot,Operational
458,BHGbot 7,BHGbot,Operational
459,BHGbot 7,BHGbot,Task allocation
460,BHGbot 7,BHGbot,Task allocation
461,BHGbot 2,BHGbot,Task allocation
462,BHGbot 5,BHGbot,Operational
463,BHGbot 5,BHGbot,Task allocation
464,BHGbot 3,BHGbot,Operational
465,BHGbot,BHGbot,Task allocation
466,BJBot 4,BJBot,Information provision
467,BJBot 6,BJBot,Exception management
468,BJBot 2,BJBot,Operational
469,BJBot,BJBot,Operational
470,BJBot 8,BJBot,Exception management
471,BJBot 3,BJBot,Exception management
472,BJBot 9,BJBot,Operational
473,BJBot 5,BJBot,Exception management
474,BJBot 7,BJBot,Operational
475,BLPWatchBot,BLPWatchBot,Exception management
476,BOT Brigade 68.4.78.25ö,BOT Brigade 68.4.78.25ö,Operational
477,BOT-Superzerocool,BOT-Superzerocool,Interwiki
478,BOTSp,BOTSp,Exception management
479,BOTarate,BOTarate,Interwiki
480,BOTepho,BOTepho,Other
481,BOTijo 2,BOTijo,Operational
482,BOTijo 6,BOTijo,Operational
483,BOTijo 7,BOTijo,Operational
484,BOTijo 3,BOTijo,Operational
485,BOTijo 5,BOTijo,Operational
486,BOTijo 10,BOTijo,Operational
487,BOTijo,BOTijo,Task division
488,BOTijo 4,BOTijo,Operational
489,BOTijo 2 (again),BOTijo 2 (again),Operational
490,BRPbot,BRPbot,Operational
491,BSqure,BSqure,Other
492,BU RoBOT 25,BU RoBOT,Task division
493,BU RoBOT 26,BU RoBOT,Operational
494,BU RoBOT 4,BU RoBOT,Operational
495,BU RoBOT 7,BU RoBOT,Operational
496,BU RoBOT 15,BU RoBOT,Task division
497,BU RoBOT 13,BU RoBOT,Task allocation
498,BU RoBOT 35,BU RoBOT,Operational
499,BU RoBOT 23,BU RoBOT,Task allocation
500,BU RoBOT 22,BU RoBOT,Operational
501,BU RoBOT 16,BU RoBOT,Operational
502,BU RoBOT 33,BU RoBOT,Task division
503,BU RoBOT 17,BU RoBOT,Task allocation
504,BU RoBOT 14,BU RoBOT,Task division
505,BU RoBOT 12,BU RoBOT,Task division
506,BU RoBOT 28,BU RoBOT,Task allocation
507,BU RoBOT 9,BU RoBOT,Operational
508,BU RoBOT 29,BU RoBOT,Task allocation
509,BU RoBOT 3,BU RoBOT,Operational
510,BU RoBOT 18,BU RoBOT,Task allocation
511,BU RoBOT 20,BU RoBOT,Task division
512,BU RoBOT 27,BU RoBOT,Task allocation
513,BU RoBOT 32,BU RoBOT,Operational
514,BU RoBOT 11,BU RoBOT,Operational
515,BU RoBOT 5,BU RoBOT,Operational
516,BU RoBOT 21,BU RoBOT,Operational
517,BU RoBOT 8,BU RoBOT,Operational
518,BU RoBOT 6,BU RoBOT,Operational
519,BU RoBOT,BU RoBOT,Operational
520,BU RoBOT 19,BU RoBOT,Operational
521,BU RoBOT 36,BU RoBOT,Operational
522,BU RoBOT 34,BU RoBOT,Task allocation
523,BU RoBOT 30,BU RoBOT,Operational
524,BU RoBOT 10,BU RoBOT,Task allocation
525,BU RoBOT 24,BU RoBOT,Operational
526,BU RoBOT 2,BU RoBOT,Operational
527,BU RoBOT 31,BU RoBOT,Operational
528,Babylon5~enwiki,Babylon5~enwiki,Interwiki
529,BacDiveBot,BacDiveBot,Operational
530,BackfireBot,BackfireBot,Other
531,BackfireBotII,BackfireBotII,Other
532,BadCitationBot,BadCitationBot,Exception management
533,BaldBot,BaldBot,Task division
534,BanaticusBot,BanaticusBot,Operational
535,BannerBot,BannerBot,Task allocation
536,BaranBOT,BaranBOT,Operational
537,BaranBOT 2,BaranBOT,Operational
538,BaranBOT 3,BaranBOT,Information provision
539,BarberChairBot,BarberChairBot,Operational
540,BareRefBot,BareRefBot,Operational
541,BareRefBot,BareRefBot,Operational
542,BareRefBot,BareRefBot,Operational
543,Bargelangs,Bargelangs,Other
544,BarkBot,BarkBot,Other
545,BaseBot,BaseBot,Information provision
546,BasketBallStatsBot,BasketBallStatsBot,Operational
547,Basketrabbit,Basketrabbit,Other
548,BatreeqbotPro,BatreeqbotPro,Exception management
549,BattyBot 7,BattyBot,Operational
550,BattyBot 30,BattyBot,Task allocation
551,BattyBot 46,BattyBot,Operational
552,BattyBot 72,BattyBot,Operational
553,BattyBot 44,BattyBot,Operational
554,BattyBot 20,BattyBot,Operational
555,BattyBot 45,BattyBot,Operational
556,BattyBot 41,BattyBot,Operational
557,BattyBot 33,BattyBot,Operational
558,BattyBot 76,BattyBot,Operational
559,BattyBot 22,BattyBot,Operational
560,BattyBot 54,BattyBot,Operational
561,BattyBot 65,BattyBot,Operational
562,BattyBot 78,BattyBot,Operational
563,BattyBot 62,BattyBot,Operational
564,BattyBot 67,BattyBot,Operational
565,BattyBot 21,BattyBot,Task division
566,BattyBot 70,BattyBot,Task allocation
567,BattyBot 49,BattyBot,Operational
568,BattyBot 53,BattyBot,Operational
569,BattyBot 9,BattyBot,Operational
570,BattyBot 80,BattyBot,Operational
571,BattyBot 38,BattyBot,Operational
572,BattyBot 73,BattyBot,Operational
573,BattyBot 47,BattyBot,Operational
574,BattyBot 19,BattyBot,Operational
575,BattyBot 17,BattyBot,Operational
576,BattyBot 31,BattyBot,Operational
577,BattyBot 24,BattyBot,Operational
578,BattyBot 36,BattyBot,Operational
579,BattyBot 35,BattyBot,Operational
580,BattyBot 6,BattyBot,Operational
581,BattyBot 40,BattyBot,Task division
582,BattyBot 71,BattyBot,Operational
583,BattyBot 58,BattyBot,Operational
584,BattyBot 68,BattyBot,Task allocation
585,BattyBot 79,BattyBot,Operational
586,BattyBot 48,BattyBot,Operational
587,BattyBot 81,BattyBot,Operational
588,BattyBot 77,BattyBot,Operational
589,BattyBot 13,BattyBot,Operational
590,BattyBot 64,BattyBot,Operational
591,BattyBot 27,BattyBot,Operational
592,BattyBot 15,BattyBot,Operational
593,BattyBot 43,BattyBot,Operational
594,BattyBot 32,BattyBot,Operational
595,BattyBot 14,BattyBot,Operational
596,BattyBot 12,BattyBot,Operational
597,BattyBot 25,BattyBot,Operational
598,BattyBot 23,BattyBot,Operational
599,BattyBot 39,BattyBot,Operational
600,BattyBot 69,BattyBot,Operational
601,BattyBot 18,BattyBot,Task division
602,BattyBot 51,BattyBot,Operational
603,BattyBot 16,BattyBot,Operational
604,BattyBot 29,BattyBot,Operational
605,BattyBot 61,BattyBot,Operational
606,BattyBot 37,BattyBot,Task division
607,BattyBot 10,BattyBot,Operational
608,BattyBot 60,BattyBot,Operational
609,BattyBot 75,BattyBot,Operational
610,BattyBot 28,BattyBot,Operational
611,BattyBot 57,BattyBot,Operational
612,BattyBot 59,BattyBot,Operational
613,BattyBot 26,BattyBot,Operational
614,BattyBot 34,BattyBot,Task allocation
615,BattyBot 55,BattyBot,Task allocation
616,BattyBot 56,BattyBot,Operational
617,BattyBot,BattyBot,Operational
618,BattyBot 8,BattyBot,Operational
619,BattyBot 66,BattyBot,Operational
620,BattyBot 42,BattyBot,Operational
621,BattyBot 11,BattyBot,Operational
622,BattyBot 82,BattyBot,Operational
623,BattyBot 74,BattyBot,Operational
624,BattyBot 63,BattyBot,Operational
625,BattyBot 50,BattyBot,Operational
626,BattyBot 52,BattyBot,Operational
627,BazookaBot,BazookaBot,Information provision
